Team,Score,Overs,RPO,Result,Opposition,Ground,StartDate
AU,329/3,109,3.01,draw,EN,Lord's,31 Jul 1975
EN,288,101.2,2.84,draw,AU,Leeds,14 Aug 1975
AU,135,76.5,1.75,draw,EN,Leeds,14 Aug 1975
EN,291,94,3.09,draw,AU,Leeds,14 Aug 1975
AU,220/3,73,3.01,draw,EN,Leeds,14 Aug 1975
AU,532/9d,181,2.93,draw,EN,The Oval,28 Aug 1975
EN,191,69.1,2.76,draw,AU,The Oval,28 Aug 1975
EN,538,233.5,2.3,draw,AU,The Oval,28 Aug 1975
AU,40/2,17.1,2.33,draw,EN,The Oval,28 Aug 1975
EN,216,86.5,2.48,draw,AU,Lord's,16 Jun 1977
AU,296,114.1,2.59,draw,EN,Lord's,16 Jun 1977
EN,305,112.4,2.7,draw,AU,Lord's,16 Jun 1977
AU,114/6,39,2.92,draw,EN,Lord's,16 Jun 1977
AU,297,109.2,2.71,lost,EN,Manchester,7 Jul 1977
EN,437,169.1,2.58,won,AU,Manchester,7 Jul 1977
AU,218,81.5,2.66,lost,EN,Manchester,7 Jul 1977
EN,82/1,29.1,2.81,won,AU,Manchester,7 Jul 1977
AU,243,82.2,2.95,lost,EN,Nottingham,28 Jul 1977
EN,364,124.2,2.92,won,AU,Nottingham,28 Jul 1977
AU,309,127,2.43,lost,EN,Nottingham,28 Jul 1977
EN,189/3,81.2,2.32,won,AU,Nottingham,28 Jul 1977
EN,436,155.4,2.8,won,AU,Leeds,11 Aug 1977
AU,103,31.3,3.26,lost,EN,Leeds,11 Aug 1977
AU,248,89.5,2.76,lost,EN,Leeds,11 Aug 1977
EN,214,101.2,2.11,draw,AU,The Oval,25 Aug 1977
AU,385,131.3,2.92,draw,EN,The Oval,25 Aug 1977
EN,57/2,26,2.19,draw,AU,The Oval,25 Aug 1977
AU,116,37.7x8,2.29,lost,EN,Brisbane,1 Dec 1978
EN,286,95.4x8,2.24,won,AU,Brisbane,1 Dec 1978
AU,339,116.6x8,2.17,lost,EN,Brisbane,1 Dec 1978
EN,170/3,53.5x8,2.37,won,AU,Brisbane,1 Dec 1978
EN,309,117.5x8,1.97,won,AU,Perth,15 Dec 1978
AU,190,66.5x8,2.13,lost,EN,Perth,15 Dec 1978
EN,208,66.3x8,2.35,won,AU,Perth,15 Dec 1978
AU,161,46.1x8,2.61,lost,EN,Perth,15 Dec 1978
AU,258,89.1x8,2.17,won,EN,Melbourne,29 Dec 1978
EN,143,63.6x8,1.68,lost,AU,Melbourne,29 Dec 1978
AU,167,71.2x8,1.75,won,EN,Melbourne,29 Dec 1978
EN,179,67.0x8,2,lost,AU,Melbourne,29 Dec 1978
EN,152,52.6x8,2.16,won,AU,Sydney,6 Jan 1979
AU,294,108.0x8,2.04,lost,EN,Sydney,6 Jan 1979
EN,346,146.6x8,1.76,won,AU,Sydney,6 Jan 1979
AU,111,49.2x8,1.69,lost,EN,Sydney,6 Jan 1979
EN,169,40.4x8,3.12,won,AU,Adelaide,27 Jan 1979
AU,164,53.4x8,2.29,lost,EN,Adelaide,27 Jan 1979
EN,360,142.6x8,1.89,won,AU,Adelaide,27 Jan 1979
AU,160,67.0x8,1.79,lost,EN,Adelaide,27 Jan 1979
AU,198,60.7x8,2.43,lost,EN,Sydney,10 Feb 1979
EN,308,103.0x8,2.24,won,AU,Sydney,10 Feb 1979
AU,143,61.1x8,1.75,lost,EN,Sydney,10 Feb 1979
EN,35/1,10.2x8,2.56,won,AU,Sydney,10 Feb 1979
EN,185,56.4,3.26,lost,AU,Nottingham,18 Jun 1981
AU,179,86.5,2.06,won,EN,Nottingham,18 Jun 1981
EN,125,38.4,3.23,lost,AU,Nottingham,18 Jun 1981
AU,132/6,54.1,2.43,won,EN,Nottingham,18 Jun 1981
EN,311,124.1,2.5,draw,AU,Lord's,2 Jul 1981
AU,345,118.4,2.9,draw,EN,Lord's,2 Jul 1981
EN,265/8d,98.4,2.68,draw,AU,Lord's,2 Jul 1981
AU,90/4,48.5,1.84,draw,EN,Lord's,2 Jul 1981
